Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,43017455401.8445,43831480207.6444,47077192187.6418,58029363354.2757,66114145451.0067,68852658068.6673,75883823300.8545,86947913286.728,110413823841.592,111572947004.917,118540573367.844,127341147581.818,128920266409.458,121353645057.144,142022058447.231,130951926351.241,144417103249.646,..
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,5930685214.61595,5650154067.10346,5950769426.60213,6583526860.58062,7937255565.35765,8868504899.94673,9509835536.93373,10811456005.9405,16208985769.615,12069051237.1711,13264640645.7768,15017358952.8452,15512759046.672,14235420174.1884,16168055475.4449,18883528581.3734,20954220983.5473,..
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,3922232164.83175,3557341215.15159,3349169826.38896,4926439383.51425,6609205994.77406,7248374837.72056,8001779551.06323,8839536475.99963,11335161083.5061,10722018732.0936,12895153370.9132,13682019076.4022,12541928303.48,10583748541.5258,12402486183.6396,12567271004.6761,12351025066.9131,..
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,2241753192.81158,2448714703.96617,2782192878.67204,3394084732.49543,3760443737.53797,4383315964.58718,4756361252.37923,5731485051.79069,9683867926.44282,10398861981.7583,11185104251.6943,12837307496.8821,12889555561.2299,13744653103.058,14915002436.069,15433852712.2963,16819170420.5653,..
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,69171451627.2465,73557840064.489,95054059302.6995,104738954264.226,135764731645.611,175670569969.346,238454997161.48,278260846800.103,493026682800.63,404649125252.16,375745731053.427,421739251509.08,474517490844.461,432198898467.795,440833635873.827,477403400101.174,363846332834.618,..
GDP (current US$),NY.GDP.MKTP.CD,Rwanda,RWA,2068836754.37431,1966600715.49841,1966003468.49117,2138237278.73822,2376496067.01198,2933819766.17656,3319784538.73346,4070507894.61656,8543759677.58157,8695272300.91019,9252834336.49492,9637904655.17446,10349300380.33,10174387374.3478,11069280649.6459,13316160895.0447,14097768472.1883,..
GDP (current US$),NY.GDP.MKTP.CD,South Sudan,SSD,..,..,..,..,..,..,..,..,11997800760.2242,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Sudan,SDN,12257299147.2936,15716361792.1926,18137128388.3606,21355298459.5955,26646007250.7319,35182711987.974,45263831634.1497,59440139774.8128,51726758676.7677,42630376000,41283617976.1905,32333780383.2924,32338079165.2893,27034593750,34229513774.9936,51666875363.0963,109265503110.904,..
GDP (current US$),NY.GDP.MKTP.CD,Senegal,SEN,6013185003.97525,6507824829.26254,7006402319.75856,8768721563.18211,10076816666.6196,11009033437.939,11697918243.0035,13994218412.9619,17774766696.1759,19040312333.1864,20996562943.5979,23116701556.1381,23403995992.1354,24530513037.7518,27520784129.7508,27619479059.6131,30848333083.7055,..
GDP (current US$),NY.GDP.MKTP.CD,Sierra Leone,SLE,635866403.776065,1681473752.3847,1933864034.188,2142618349.81099,2237350963.27352,2545275312.60512,2912986118.07453,3326853435.59832,6651626733.64854,6042615859.61074,5818480351.63706,6390514688.52816,6523577590.38319,6688594757.62129,7165214367.64956,7119137321.90082,6411869546.28929,..
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,151752757215.309,135429905922.526,129087556612.449,197018965308.697,255806908594.573,288867217196.534,303858675363.643,333077117253.684,346709790458.563,323585509674.481,381448814653.456,405260723892.517,389330032224.269,337974655408.055,420886877628.703,406920004594.074,380699271814.508,..
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,13371767081.7428,13563990022.3641,14129651895.6911,15211487708.7684,16673062473.3981,18395383647.4975,18619859795.2852,21860434823.4808,47413919817.124,49774409374.4538,53274884532.7886,57003712892.0858,61026731925.9213,66068737786.0639,70655628147.8986,75769974505.0106,79062403820.892,..
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1388506771.58756,1710843377.00119,1997005708.81576,2742815071.5744,4422855660.82592,6649307523.64377,7428701453.91509,8650137743.32547,10950392256.9543,10097778098.1707,10000394381.0177,11239167898.3395,11314951091.7283,10715396042.3343,11779981332.8631,12396807588.4082,13149325362.3347,..
GDP (current US$),NY.GDP.MKTP.CD,Togo,TGO,2106848752.27753,2093498674.49678,2410199032.43102,2987984050.99318,3191561508.69088,3221910408.46516,3320907721.74508,3759964943.38078,5755461035.38026,6071170959.12093,6387422517.69225,7029300383.08031,6992700101.37188,7400284167.78479,8342243645.94438,8169476148.95692,9171261837.57103,..
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,21473528160.7782,22065832448.8623,23141616604.5242,27453902261.4629,31183885241.4396,32272186694.8043,34376664600.5898,38915353866.757,45779494041.9295,44360072680.4476,42163530590.9462,42686504459.801,41905642418.825,42491780918.361,46812290143.344,44579761022.8993,48529595416.6533,..
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,6193246837.09687,5840503868.51573,6178563591.12051,6606884275.23087,7939487547.77384,9239221763.05793,9977647682.96954,11902564494.8833,32387183730.1002,29203988696.2626,30744473841.424,32927025619.6795,35348155095.4215,37600368241.6657,40529788748.6737,45565333210.9108,48768955863.3175,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,3600632111.41414,4094441301.21423,4193850445.42632,4901869764.05957,6221110219.45542,8331870169.14977,12756858899.2812,14056957976.2648,21251216798.7762,20958412538.3093,25873601260.8353,26311507273.6735,23308667781.2258,18137764930.651,22096416932.0089,29163782140.4858,27577956471.244,..
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,6689957600,6777384700,6342116400,5727591800,5805598400,5755215200,5443896500,5291950100,19963120600,20548678100,51074660513.3715,34156069918.0609,25717409842.4479,26867936444.6826,27240515108.8049,32789751736.3323,35231367885.8554,..
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,782913871.80966,687410645.063943,578235309.327198,487038685.045496,961900651.423441,1027701067.55688,1054112487.74083,1279703047.0221,1378176608.93204,1484578885.97132,1504909462.69521,1670671327.81651,1813609692.49994,1812170891.19069,2014158842.14596,2204734527.88096,2396111021.64149,..
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,351136579.648632,378512024.077556,425964681.044378,546885222.713065,633706110.795614,653845169.168576,698431793.872776,795673152.867077,966029600.862227,1012835493.19325,1077439756.59451,1188797449.38584,1195019531.9011,1225039196.61091,1296089479.91978,1242519407.77603,1352380971.24055,..
GDP (current US$),NY.GDP.MKTP.CD,Seychelles,SYC,654212394.27164,662064155.920692,742134837.50919,750847230.099263,893012218.181818,977899381.818182,1081441283.31798,1077308813.82945,1432403352.12944,1568513348.14463,1675370641.01416,1784313926.76807,1868690096.73454,1382551751.56908,1487173794.80528,2057968519.83091,2141450171.13932,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,42.0697177213416,34.1212313958018,33.1371640975005,35.6690635287432,38.3929594593676,44.371282898314,45.7641342682087,44.720155665402,20.5281416810455,18.4866879717888,20.3336795171675,23.423105738908,20.407941949491,15.5352011116191,23.4443672905951,30.8089785470304,23.6195363708424,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,..,..,57.0849959046266,54.3213388113835,58.3803583199793,65.5262677696291,63.4678635039226,67.9057833724671,29.7545979506807,28.1244854472006,29.0041020030504,40.8362898299819,40.7907550532833,38.314540742558,47.7452759675607,44.391642097512,40.8567793904075,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,20.6053025489554,19.8685788115524,19.726610778332,18.6442972500831,18.5135475659125,18.483639980467,18.057925712964,22.0428531154363,24.7204512110389,27.6067880711982,27.2055947818832,27.2742306189085,29.6305271935478,19.8724704276524,20.9188061754733,21.6532095498925,21.1934539892603,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,51.8318100701299,48.6576082380348,52.1574267782427,48.8268578340104,49.6137877815052,52.9235535447696,51.7808267603935,56.479962927168,53.0908973428197,54.6113547604529,42.9200424885539,44.2281439237392,37.0878176552067,31.2902836724863,41.9108436360075,43.5418799471132,32.2751013777669,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,8.8447174852677,9.0440827674193,8.86536563219181,9.22043165840572,10.8815873012951,9.84184747809064,10.9568635027021,10.3485422167992,26.1076455357024,25.915964804251,26.4523856350501,28.0789061419219,29.2576956572794,31.7768656908663,32.797073516181,31.744842886064,28.8622955091639,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,6.3189705942566,5.17920216470328,4.68580418118256,6.38141402548028,6.95274828690709,6.20000016552948,7.3,6.80000013631119,6.41727356534236,6.38452218976084,6.02657432870477,5.6856543143069,5.17203999926172,4.54932000033401,5.00028999994313,4.9710985076333,5.26338520550318,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,27.0072185431265,29.80941288281,32.5449567130458,31.3643511669509,32.004173065871,37.7773604608664,45.1322052608015,33.7458980966483,41.1354523359312,41.4729487181747,42.0688035837608,45.865993464408,46.7050331370949,25.2933707721998,23.8497983576563,38.6842542170134,38.3639967741243,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,24.8568127317047,25.2612172490423,22.9861583659013,19.4369114585916,20.5475737052101,22.2454563981154,24.1790940584351,26.9786418047148,20.9891496295315,18.9499787559649,18.3510985830022,18.7362534690181,19.8500907473186,15.2357369814791,16.5088840367781,19.321813317909,16.6141431983781,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic,CAF,20.3722135905975,17.1572538375263,15.96270493648,18.2360038377682,13.997917508823,13.3627533256972,14.3160051485309,14.1153274204234,17.0676606236635,14.8218796578137,17.2597737600181,15.9400300007701,15.7553800018083,15.1724799997493,13.2274599967551,12.3004999986493,14.4408262093734,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep.",COD,11.4496120313427,11.987684833486,15.6713428067886,24.0004430362555,22.7295135131027,22.9441827774461,21.7000985286877,39.0719137879801,27.7255678009169,23.9564422023011,35.2505221787596,32.5535282647371,25.8676651009614,28.6049515263296,40.385829565187,45.4979499673544,44.2459902044245,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Rep.",COG,80.297147219193,77.4200268515354,81.5164254833959,80.8123655970076,80.5297928332926,75.0050837514178,77.4641294571561,68.4853907202658,40.8570487934502,42.068526050081,47.9627316588394,62.2105922950548,56.1988143702835,40.7190432792988,52.8365708586233,63.8121468562925,56.8959278033859,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire,CIV,27.7900585635603,27.4698146295241,31.361161437556,28.741013407249,30.1412888678631,31.8789802252367,32.8409302334209,30.4909527241434,27.3532437923476,24.9418624533151,25.4987866021143,22.6941999168587,22.6604887650452,20.9934684842997,22.2962678369402,24.5266423324517,24.5199592562693,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,145.421307480105,103.764025112093,150.098361470494,156.619875027706,166.717746372109,115.626523405724,143.022084396506,169.000456477795,169.105788685534,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Egypt, Arab Rep.",EGY,16.2011173184358,17.4797881237803,18.3161784111903,21.7964071856287,28.2299608489594,30.3435468895079,29.9498138254816,30.249731471536,13.1838454928598,10.3454639403558,15.0140868185672,17.984655608418,16.6440314510365,12.4727757370868,10.5611502153652,15.0870258208479,19.1021039290635,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,87.4173831312055,82.3256504465367,88.621293972478,56.6584738218082,51.4128299447575,58.8631052137026,59.6145347244398,51.1307495482003,40.8454498501516,45.1275510492817,52.9670852025114,36.6023261927194,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,9.67062059350866,10.8070403599802,11.7811808402808,6.44232783354792,5.77539898239118,6.16571332006919,6.8995093921478,5.77185258376616,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,9.36331359735926,7.81208050267299,7.62936862241418,8.37267586646371,7.9399766087609,7.12720094276697,7.63170164458893,8.24396237462472,6.59300267773163,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,69.0321767086082,54.2752324798833,52.6088996947807,51.9294344950898,55.0391552768837,60.0086727573886,60.5718165208079,58.528604586134,46.0320085043705,44.0353472921111,50.2267539725926,54.2990764910062,51.4310732271996,47.5994828159722,60.9391204925529,67.5787331934568,63.728334784929,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,48.8022576190038,45.2330164667316,42.6162518930867,40.67904265112,39.3033251214107,36.449216950714,24.6561904908957,24.5250906044049,33.8317048233696,31.193239148362,33.8768747799681,33.4548954489265,37.4495998625311,31.5254204867115,30.0551194696231,34.6640435533587,34.0367592151643,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,16.8193583183757,19.6002796228163,18.1594392886496,17.8020725505263,16.8893836527306,23.8572578868436,23.8243077612749,23.5509559790242,21.4968719824351,29.3715126043271,44.6602984531211,40.2070955328741,35.0420493356329,46.969818134712,56.2186332783709,45.4186514317354,41.5653232624964,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,21.5875711417625,22.9315763643367,24.8979726147002,24.086815305421,26.6102585752973,28.5090302142012,22.9849396441861,21.9189912933699,15.1287339034504,13.2497448006759,12.7366599413725,12.541975333359,11.4279956869332,9.64186888186451,10.7695743362259,12.1919692160845,11.6861054407608,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,..,..,..,..,..,..,..,53.2487600192534,42.8918037123102,45.7796652454104,47.4769340332662,49.8331114219045,46.2093281781161,44.44901227889,46.1460898214545,46.5063823361123,42.9229805805595,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,19.1196684495627,20.070249419803,21.8155744053565,13.6941628175957,19.4573064554058,24.3193861068762,27.4869137812158,27.7962071422596,28.3906461296836,29.0925694335543,30.9026308764808,31.5360236539412,28.4244012431975,20.1420748833617,22.7742898827032,30.3776176106912,26.8675598855334,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,22.4785904568103,26.3124370675839,28.0874538136608,25.7693403925944,23.6771847065241,22.9888693418902,28.4289450992381,24.1521111507005,24.0437085118274,23.4429129749282,22.4718769579376,24.5226637508643,25.7052911328497,29.7477614015904,27.8671459234148,31.1765585536895,29.4050554839946,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,25.5171157140843,25.536995080516,24.7736084028423,19.1247721754728,23.2692575686957,26.7532470536875,42.3641033273967,40.5231617982886,30.1951447553349,33.9251405488546,34.5056775300947,36.5862504012937,42.3975240406607,41.406104283545,39.8560232643025,39.737807822992,38.2879909023547,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritius,MUS,60.2825628484701,67.0837948469199,60.7898676078676,55.2631863215924,52.6147202557885,58.2403213454801,58.4439359267735,55.8674978743079,51.4978524051162,49.1740762253697,48.1551661058958,46.0962669509066,44.6671405250455,39.3497952654865,44.201734728189,55.3430183090158,52.4706712906744,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Morocco,MAR,24.1968278897887,25.3955453600676,25.9443798115524,24.676486583266,25.3492055058078,27.9958996339897,29.6289667970785,31.4277738089785,29.9958538899695,30.7345951424219,32.6064609907781,33.8284373726717,34.093057468891,30.7941069539783,33.1360849405787,44.8118007632888,42.752081172208,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mozambique,MOZ,11.2856851913847,18.7397822798285,21.4699466720227,22.8118539424611,26.3746134140712,27.8677637269046,28.0396818491761,28.3208398689763,32.5722935328402,35.3819373953665,41.043463320554,45.5310358403147,37.1420563608323,32.7898734687844,40.3504985242732,49.8269428040417,45.2791164196367,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Namibia,NAM,40.736150559887,41.0559430255954,46.1689000685777,43.4294440838332,39.797940206821,40.4085763351911,45.3668335484121,49.8552010266907,35.3708484097637,35.0094674181023,33.6208040771432,35.8825645595703,36.4008818615818,33.6778689517423,31.9564108832988,40.3451238515484,43.4122407828397,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Niger,NER,14.3397037015635,13.4558135151968,11.9188080478994,13.2742280973529,14.2585696095611,14.411416011146,13.8704426231817,13.0665385476229,14.2683699619368,12.1833388939158,12.8065412142116,11.2957371550569,10.7593769160532,9.73784560618977,9.99372066917064,8.52377989130102,8.82572044697118,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
